time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,eval/mean_ep_length,eval/mean_reward
560,744.91,-4.85,732,1336,749568,0.2,0.01528206653892994,0.0,7310,-0.0003234371310099959,-1.6462854027748108,9.992514560000001e-05,7.3677336e-05,0.6645146012306213,0.032686096429824826,,
561,744.73,-4.85,733,1337,750592,0.2,0.007687934674322605,0.0,7320,-0.0005002286052331328,-1.6572029829025268,9.99250432e-05,0.00014909304,0.8076760172843933,0.018931752257049083,,
561,745.88,-4.85,734,1338,751616,0.2,0.004488248378038406,0.0,7330,-0.0006421783240512013,-1.5612893104553223,9.99249408e-05,0.00017126754,0.8438009321689606,0.012433918472379447,,
561,744.62,-4.85,735,1340,752640,0.2,0.0047289663925766945,0.0,7340,-0.0008746902458369732,-1.6490840792655945,9.99248384e-05,0.00026610284,0.8227009028196335,0.014604971464723348,,
561,744.5,-4.85,736,1341,753664,0.2,0.011036345735192299,0.0,7350,-0.0005235578631982207,-1.645907747745514,9.992473600000001e-05,0.00034009042,0.7391153275966644,0.025278440117835997,,
562,747.27,-4.85,737,1342,754688,0.2,0.007150153163820505,0.0,7360,-0.0006282110931351781,-1.6147949934005736,9.992463360000001e-05,0.00018907728,0.7486976683139801,0.018108455277979375,,
562,748.1,-4.85,738,1343,755712,0.2,0.006161998957395554,0.0,7370,-0.00016607190482318402,-1.565602171421051,9.99245312e-05,8.573674e-05,0.8167044222354889,0.013585297018289566,,
562,751.87,-4.84,739,1344,756736,0.2,0.013581800274550915,0.0,7380,-0.0005796769866719842,-1.5346508026123047,9.99244288e-05,0.0001683652,0.6350164115428925,0.03173050656914711,,
562,752.61,-4.83,740,1346,757760,0.2,0.007867444306612015,0.0,7390,-0.0004511527018621564,-1.6641130089759826,9.99243264e-05,0.00028876535,0.6878129839897156,0.01827626917511225,,
563,752.69,-4.83,741,1347,758784,0.2,0.008081742562353611,0.0,7400,-0.0005858829710632563,-1.6452054142951966,9.9924224e-05,0.0003773647,0.7862140834331512,0.020389029011130332,,
563,755.92,-4.82,742,1348,759808,0.2,0.010198733769357204,0.0,7410,-0.0005238277371972799,-1.681638813018799,9.992412160000001e-05,0.00018705748,0.6740212738513947,0.02476135790348053,,
563,757.89,-4.82,743,1349,760832,0.2,0.0074800895527005196,0.0,7420,-9.270203299820423e-05,-1.6664130926132201,9.99240192e-05,4.4674613e-05,0.8261897414922714,0.016655438393354417,,
563,760.03,-4.82,744,1351,761856,0.2,0.005577025469392538,0.0,7430,-0.00080445169005543,-1.7002064347267152,9.992391680000001e-05,9.989337e-05,0.8286621421575546,0.015583791118115187,,
564,761.21,-4.82,745,1352,762880,0.2,0.008725112304091454,0.0,7440,-0.0005870711291208863,-1.6768424034118652,9.99238144e-05,0.00033484754,0.7745643258094788,0.02268436159938574,,
564,761.1,-4.82,746,1353,763904,0.2,0.008325241506099701,0.0,7450,-9.270571172237396e-05,-1.6763348937034608,9.9923712e-05,7.668149e-05,0.7118320167064667,0.019678333215415476,,
564,761.29,-4.82,747,1354,764928,0.2,0.00547093665227294,0.0,7460,-0.0009269969421438872,-1.6754480004310608,9.992360960000001e-05,0.0002810164,0.8427264392375946,0.016252508945763113,,
564,762.49,-4.81,748,1356,765952,0.2,0.008272760547697544,0.0,7470,-0.0010095860110595823,-1.6105660319328308,9.99235072e-05,0.0004137004,0.7156268656253815,0.021882917173206805,,
565,761.15,-4.81,749,1357,766976,0.2,0.008258983492851257,0.0,7480,-0.00043253097683191297,-1.724919366836548,9.992340480000001e-05,0.00049373007,0.8061641752719879,0.020144089311361312,,
565,762.95,-4.81,750,1358,768000,0.2,0.004891176708042622,0.0,7490,-0.00044915385078638794,-1.6318861365318298,9.99233024e-05,0.00015558035,0.8812197223305702,0.011972296331077815,,
565,759.57,-4.82,751,1359,769024,0.2,0.006673552095890045,0.0,7500,-0.0011005333391949535,-1.6366917848587037,9.99232e-05,0.0002919308,0.8085103183984756,0.01968581397086382,,
565,760.43,-4.82,752,1361,770048,0.2,0.009334158152341843,0.0,7510,-0.00044661881402134894,-1.6047869205474854,9.992309760000001e-05,0.00024688273,0.767284095287323,0.021004838682711125,,
566,767.33,-4.82,753,1362,771072,0.2,0.00729336217045784,0.0,7520,-0.00039743981324136257,-1.6029128670692443,9.99229952e-05,0.00013569597,0.7329875528812408,0.01766339186578989,,
566,766.21,-4.82,754,1363,772096,0.2,0.007574081886559725,0.0,7530,-0.0007240223232656718,-1.5713775038719178,9.99228928e-05,0.00013333495,0.7219016253948212,0.02025995831936598,,
566,767.08,-4.83,755,1364,773120,0.2,0.009728088974952698,0.0,7540,-0.00022658114321529865,-1.6830057859420777,9.99227904e-05,0.00010801398,0.7239100933074951,0.021111115254461764,,
566,766.99,-4.83,756,1365,774144,0.2,0.005460767075419426,0.0,7550,-0.0005596288945525884,-1.6266420602798461,9.992268800000001e-05,8.573325e-05,0.7772508412599564,0.01391234202310443,,
567,767.42,-4.83,757,1367,775168,0.2,0.00576837407425046,0.0,7560,-0.0003188757225871086,-1.71259685754776,9.99225856e-05,0.00013979472,0.8323422521352768,0.014374735951423644,,
567,772.68,-4.82,758,1368,776192,0.2,0.008759761229157448,0.0,7570,-0.0002303958870470524,-1.6686452627182007,9.99224832e-05,4.9074937e-05,0.5942108631134033,0.02151795048266649,,
567,770.59,-4.82,759,1369,777216,0.2,0.013171078637242317,0.0,7580,-0.00012849830090999603,-1.6769885301589966,9.992238080000001e-05,3.681681e-05,0.5833812355995178,0.029018373973667622,,
