#{"t_start": 1639654336.9164536, "env_id": null}
r,l,t
-5,630,400.325609
-5,742,401.295402
-5,636,402.067815
-5,645,403.093085
-5,446,403.532506
-5,715,404.410051
-5,499,404.932875
-5,667,405.837414
-5,552,406.594245
-5,561,407.159945
-5,752,408.047139
-5,605,408.84123
-5,575,409.509071
-5,713,410.598417
-5,618,411.462414
-5,472,412.420367
-4,622,413.265574
-5,591,414.038192
-5,484,414.63754
-5,624,415.243182
-5,562,415.940413
-5,510,416.464213
-5,627,417.54027
-5,451,418.206493
-5,513,418.87003
-5,651,419.573076
-4,794,420.549608
-5,607,421.364249
-4,865,422.438135
-5,647,423.104479
-5,487,423.760359
-5,761,424.604198
-5,614,425.664429
-5,689,426.595708
-5,637,427.265851
-4,644,428.061046
-4,588,428.872022
-5,532,429.390721
-5,517,430.076849
-5,510,430.565081
-5,583,431.406235
-5,694,432.164352
-5,621,433.043475
-5,518,433.575174
-5,659,434.659044
-5,666,435.451945
-5,696,436.129762
-5,521,436.791793
-4,578,437.367908
-5,514,438.031901
-5,737,438.899328
-5,572,439.458507
-5,592,440.202321
-5,831,441.159026
-5,711,441.86189
-4,751,442.737633
-5,669,443.572294
-5,425,443.997131
-3,1010,445.105644
-4,472,445.714064
-4,606,446.364195
-5,703,447.346557
-5,459,447.871851
-4,608,448.668783
-5,526,449.174097
-5,655,449.969773
-5,484,450.589048
-5,746,451.383054
-5,562,452.217971
-5,446,452.71862
-5,568,453.479187
-5,781,454.529864
-5,557,455.10773
-5,387,455.550184
-5,788,456.569491
-5,482,457.243716
-5,625,457.910787
-5,507,458.607359
-5,784,459.585993
-4,675,460.293974
-5,933,461.447361
-4,553,462.23109
-5,640,462.921482
-5,730,463.858599
-5,858,464.955607
-5,794,465.947168
-5,483,466.476206
-5,780,467.471849
-4,790,468.504879
-5,569,469.094187
-5,821,470.164989
-5,656,471.055853
-5,924,472.275228
-5,568,472.88929
-5,698,473.914818
-5,638,474.624039
-4,633,475.485189
-5,526,476.259329
-5,539,476.840691
-4,619,477.676365
-5,786,478.557748
-5,673,479.514206
-5,533,480.281295
-5,637,480.954756
-5,580,481.727475
-5,729,482.6582
-4,633,483.335091
-5,504,484.011012
