time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates
18,-4.888888888888889,583.1269841269841,36864,461,79,0.027083413675427437,0.03248991260334151,0.08349609375,-1.906214242428541,0.0003,0.009238522,0.6897954940795898,0.2,-0.008303317694662837,170
19,-4.878787878787879,588.8636363636364,38912,462,84,-0.0038061905652284622,0.016134371704538353,0.03876953125,-1.900803142413497,0.0003,0.0060808267,0.8269387781620026,0.2,-0.006386829113034764,180
20,-4.884057971014493,590.6376811594203,40960,464,88,-0.019395770505070686,0.01903836525452789,0.067333984375,-1.891749370098114,0.0003,0.00796614,0.7735729217529297,0.2,-0.008458293200965273,190
21,-4.888888888888889,594.4305555555555,43008,466,92,-0.013004410080611706,0.016692868019163143,0.065771484375,-1.8689728934317826,0.0003,0.0064008795,0.8188396096229553,0.2,-0.00907392598091974,200
22,-4.8933333333333335,593.0133333333333,45056,468,96,0.0005220468156039715,0.012428077499498614,0.03623046875,-1.8634805120527744,0.0003,0.0059995214,0.8762785419821739,0.2,-0.0061455660339561295,210
23,-4.883116883116883,599.4025974025974,47104,465,101,0.021918440237641335,0.02002708477230044,0.02978515625,-1.8632910635322333,0.0003,0.0060984287,0.8138135969638824,0.2,-0.006096971069928259,220
24,-4.8625,609.225,49152,456,107,-0.004494014196097851,0.014894150728650857,0.071875,-1.8601275362074374,0.0003,0.0072263754,0.7785604745149612,0.2,-0.009035361313726753,230
25,-4.833333333333333,609.2261904761905,51200,455,112,0.008945299312472343,0.01834346163814189,0.05205078125,-1.8252521298825741,0.0003,0.007837938,0.7619915902614594,0.2,-0.008474301428941544,240
26,-4.827586206896552,611.3678160919541,53248,455,116,-0.018913567066192627,0.01969706305244472,0.05302734375,-1.829566866904497,0.0003,0.008888947,0.7882581800222397,0.2,-0.0068057432414207145,250
27,-4.822222222222222,612.9777777777778,55296,454,121,0.011603115126490593,0.02151360440911958,0.075048828125,-1.7801964055746793,0.0003,0.006777603,0.8017702102661133,0.2,-0.00690702359424904,260
28,-4.827956989247312,614.258064516129,57344,456,125,-0.009765923023223877,0.014830914931371808,0.111767578125,-1.7434881146997214,0.0003,0.01071233,0.8872310295701027,0.2,-0.012220778409391642,270
29,-4.833333333333333,613.78125,59392,457,129,-0.0019510099664330482,0.012814421099756146,0.073583984375,-1.754299085214734,0.0003,0.009416159,0.8703159689903259,0.2,-0.008469783481996274,280
30,-4.838383838383838,617.6767676767677,61440,459,133,0.0043796515092253685,0.01734695308987284,0.08271484375,-1.746884199604392,0.0003,0.008805397,0.8094359189271927,0.2,-0.009320039507292677,290
31,-4.85,617.68,63488,458,138,-0.00790957361459732,0.010303677785123,0.066162109375,-1.6882119551301003,0.0003,0.008104329,0.8736831545829773,0.2,-0.008602597326535033,300
32,-4.85,621.77,65536,460,142,-0.015245364978909492,0.012927281903830589,0.078125,-1.7014269948005676,0.0003,0.008551685,0.8509105443954468,0.2,-0.007883192787267035,310
